     itr, time , potential ,strain(%)
         0 ,    0.80000E+01 ,   -0.35817E+00 ,   -0.60099E-02 , 
         0 ,    0.81000E+01 ,   -0.41574E+00 ,   -0.84183E-02 , 
         0 ,    0.82000E+01 ,   -0.46674E+00 ,   -0.10752E-01 , 
         0 ,    0.83000E+01 ,   -0.51036E+00 ,   -0.12946E-01 , 
         0 ,    0.84000E+01 ,   -0.54591E+00 ,   -0.14938E-01 , 
         0 ,    0.85000E+01 ,   -0.57283E+00 ,   -0.16667E-01 , 
         0 ,    0.86000E+01 ,   -0.59070E+00 ,   -0.18083E-01 , 
         0 ,    0.87000E+01 ,   -0.59924E+00 ,   -0.19147E-01 , 
         0 ,    0.88000E+01 ,   -0.59830E+00 ,   -0.19836E-01 , 
         0 ,    0.89000E+01 ,   -0.58790E+00 ,   -0.20140E-01 , 
         0 ,    0.90000E+01 ,   -0.56821E+00 ,   -0.20066E-01 , 
         0 ,    0.91000E+01 ,   -0.53954E+00 ,   -0.19632E-01 , 
         0 ,    0.92000E+01 ,   -0.50234E+00 ,   -0.18864E-01 , 
         0 ,    0.93000E+01 ,   -0.45721E+00 ,   -0.17799E-01 , 
         0 ,    0.94000E+01 ,   -0.40484E+00 ,   -0.16476E-01 , 
         0 ,    0.95000E+01 ,   -0.34608E+00 ,   -0.14939E-01 , 
         0 ,    0.96000E+01 ,   -0.28184E+00 ,   -0.13232E-01 , 
         0 ,    0.97000E+01 ,   -0.21315E+00 ,   -0.11400E-01 , 
         0 ,    0.98000E+01 ,   -0.14110E+00 ,   -0.94847E-02 , 
         0 ,    0.99000E+01 ,   -0.66807E-01 ,   -0.75256E-02 , 
         0 ,    0.10000E+02 ,    0.85372E-02 ,   -0.55041E-02 , 
